Name,Code,Cat Code,Parent Manufacturer
Avagard,AVGD,PT_CAT374216,
Avalon Manufacturing,AVL,PT_CAT223847,
Avanti,AVN,PT_CAT223709,
Aervoe,AVRO,PT_CAT375609,
Avtec,AVT,PT_CAT13271,Unified
Avanti Pro,AVTP,PT_CAT374174,
American Water Heaters,AWHS,PT_CAT375835,
Armstrong World Industries,AWIS,PT_CAT375811,
Amiad Water Systems,AWS,PT_CAT374812,
Axent,AXNT,PT_CAT375929,
Axis,AXS,PT_CAT222296,
Ay Mcdonald,AYMD,PT_CAT375886,
AyrKing,AYR,PT_CAT243409,
Aztecas Design,AZDS,PT_CAT374715,
Aztec Grill,AZG,PT_CAT223859,
Az Patio Heaters,AZPH,PT_CAT375689,
Baltimore Aircoil,BAC,PT_CAT375904,
Bag Solutions,BAGS,PT_CATBAGSOLUTIONS,
Ball Corporation,BALL,PT_CAT374060,
Bausch & Lomb,BALO,PT_CAT374016,
BakeMax,BAM,PT_CAT223761,
Bando,BAN,PT_CATBANDO,
Banner,BANR,PT_CAT223959,
Bar Maid,BAR,PT_CAT1018,
Bard,BARD,PT_CAT223818,
Baso,BASO,PT_CATBASO,
Baxter,BAX,PT_CAT1019,ITW
Bayou Classic,BAYC,PT_CAT375367,
Bradbury Barrel,BBBL,PT_CAT374782,
Bamboo Forever,BBFV,PT_CAT235621,
Bbj Environmental,BBJE,PT_CAT375848,
Bobrick,BBK,PT_CAT296882,
Butcher Boy Machines,BBM,PT_CAT242310,
Bagcraft,BCFT,PT_CAT374362,
Beech Ovens,BCH,PT_CAT47966,Middleby
BlueCollar,BCLR,PT_CAT374365,
Beacon Morris,BCNM,PT_CAT376036,
Bestcare,BCR,PT_CAT374836,
Bacharach,BCRH,PT_CAT374826,
Bacstop,BCSP,PT_CAT375323,
B&C Technologies,BCT,PT_CAT223860,
Builder''s Best,BDBT,PT_CAT376054,
Band-It,BDIT,PT_CAT374827,
Bradshaw International,BDSH,PT_CAT235545,
Birdwell Cleaning,BDWL,PT_CAT375826,
Bradley Corporation,BDY,PT_CATBRADLEYCORPORATION,
Beacon,BEAC,PT_CATBEACON,
Beaufurn,BEAU,PT_CAT223610,
